GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,AFcode,alignment_15cm_EFL,alignment_15cm_PFL,alignment_15cm_distortion_min,alignment_15cm_distortion_max,alignment_15cm_DFOV_EFL,alignment_15cm_DFOV_PFL,alignment_15cm_DFOV_DOTS,alignment_test_ver,alignment_15cm_tilt_X,alignment_15cm_tilt_Y,alignment_15cm_tilt_radial,alignment_15cm_tilt_theta,offset_tilt_test_ver_,alignment_15cm_rotation,rotation_test_ver,alignment_15cm_sensor_temperature,alignment_15cm_pntc_temperature,pass_items,fail_items,result,
T220509222535840VCMCT7021T0,'20220509222642,'2022-05-09 22:26:55:776,VCMCT7021T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2E1985ZJ,17cc15160370,0x5240f961dcdea103,AS1C064050ENC631A432105043,AJ8C072352E6B331B617,DNB21523053120L03A,0,0.0000000000,368,5.7031633242,5.9285741693,-0.0237669395,1.3642859997,80.0292086010,77.8496622022,77.7228885782,9.0000000000,-0.0054288401,-0.2992221739,0.2992714162,88.9605961584,8.4000000000,-0.3212387721,8.4000000000,41.5879000000,33.9366613455,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222559156VCMCT7021T0,'20220509222706,'2022-05-09 22:27:18:516,VCMCT7021T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1X1985Z4,17cc15170871,0x5240f961dd146507,AS1C064034CDA531C034044050,AJ8C0723639NB131B622,DNB21523055170C01A,0,0.0000000000,351,5.6959961188,5.9208296016,-0.0776420339,1.2508738683,80.1001773776,77.9228896017,77.8040836050,9.0000000000,0.1103174932,0.1719793688,0.2043201077,57.3215906035,8.4000000000,-0.3047008980,8.4000000000,41.4853000000,34.2571636874,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222622861VCMCT7021T0,'20220509222728,'2022-05-09 22:27:40:866,VCMCT7021T02,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC221985ZW,17cc15170405,0x5240f961dd142401,AS1C0640239GA731B234053004,AJ8C072362F7B131B619,DNB21523053120L01A,0,0.0000000000,365,5.7005138581,5.9257111829,-0.0250717946,1.2679976753,80.0554310943,77.8767191762,77.7955965541,9.0000000000,0.0367422450,-0.1561939402,0.1604572409,-76.7627322008,8.4000000000,-0.3559559257,8.4000000000,43.0756000000,34.6132450991,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222645115VCMCT7021T0,'20220509222752,'2022-05-09 22:28:04:556,VCMCT7021T02,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC281985ZQ,17cc15170083,0x5240f161ded77f03,AS1C0640239HA731A631055031,AJ8C072362F4B231B631,DNB21523053600G09A,0,0.0000000000,373,5.6963505077,5.9212125207,-0.0346756597,1.3134803349,80.0966658027,77.9192662557,77.8389789572,9.0000000000,0.1165725024,-0.0653513132,0.1336410075,-29.2752542773,8.4000000000,-0.2193197666,8.4000000000,42.9730000000,34.1078183174,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222709269VCMCT7021T0,'20220509222816,'2022-05-09 22:28:28:696,VCMCT7021T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC291985ZP,17cc15170005,0x5240f961dcde6c05,AS1C064050L7C631A935021047,AJ8C072342BFB431B634,DNB21523053120K08A,0,0.0000000000,363,5.6978416894,5.9228237707,-0.0611109714,1.3608268645,80.0818927623,77.9040230141,77.7761250268,9.0000000000,0.0080262362,0.2229677182,0.2231121299,87.9384070943,8.4000000000,-0.1650220059,8.4000000000,42.6139000000,34.5859630057,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222731523VCMCT7021T0,'20220509222839,'2022-05-09 22:28:51:366,VCMCT7021T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1H1985ZJ,17cc15170702,0x5240f961dedca607,AS1C064033AHA731A735015026,AJ8C072362F8B131B610,DNB21523055550M13A,0,0.0000000000,369,5.6988185947,5.9238793534,-0.0254117538,1.3611782712,80.0722170812,77.8940393854,77.7815945651,9.0000000000,-0.1405943202,-0.1057668239,0.1759354828,36.9535257996,8.4000000000,-0.1986816168,8.4000000000,42.4600000000,34.2341259956,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222755228VCMCT7021T0,'20220509222902,'2022-05-09 22:29:14:556,VCMCT7021T02,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1E1985ZM,17cc15170710,0x5240f961dcdecf07,AS1C064040K3C631A128051045,AJ8C072353DCB231B626,DNB21523055180H08A,0,0.0000000000,384,5.6961224488,5.9209661016,-0.1178408506,1.3052745648,80.0989255673,77.9215979469,77.7902442919,9.0000000000,-0.0164159350,0.0292203626,0.0335158532,-60.6728205095,8.4000000000,-0.4360523948,8.4000000000,41.8957000000,33.6129741929,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222818682VCMCT7021T0,'20220509222925,'2022-05-09 22:29:37:806,VCMCT7021T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1B1985ZQ,17cc15160488,0x5240ea61de795201,AS1C064014D2A531B833018101,AJ8C072343A8B331B625,DNB21523055170A09A,0,0.0000000000,353,5.6963820214,5.9212465714,-0.0908598745,1.3531284573,80.0963535519,77.9189440663,77.7952235448,9.0000000000,-0.1761081709,-0.0048381518,0.1761746159,1.5736640541,8.4000000000,-0.1542933267,8.4000000000,42.1522000000,34.1842878467,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222842386VCMCT7021T0,'20220509222948,'2022-05-09 22:30:00:176,VCMCT7021T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1T1985Z8,17cc15170070,0x5240f161ded78403,AS1C064060JJC631A934007053,AJ8C0723639BB431B638,DNB21523055180G13A,0,0.0000000000,364,5.6977415496,5.9227155667,-0.1900516404,1.4154664113,80.0828846987,77.9050465214,77.7787655936,9.0000000000,0.1383365528,-0.2318499577,0.2699833087,-59.1770767267,8.4000000000,-0.2174198357,8.4000000000,42.3574000000,33.6241911259,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222905143VCMCT7021T0,'20220509223012,'2022-05-09 22:30:24:796,VCMCT7021T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1N1985ZD,17cc15160666,0x5240f961dcde1d05,AS1C064060KPC631A831060046,AJ8C072352HMB431B637,DNB21523054460A06A,0,0.0000000000,359,5.6928275467,5.9174060269,-0.0535903735,1.2965632933,80.1315855579,77.9552975450,77.7957149335,9.0000000000,0.1186477379,0.1068154104,0.1596457089,41.9958602626,8.4000000000,-0.3071781899,8.4000000000,42.3061000000,34.3341184183,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
