GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,AFcode,alignment_560cm_EFL,alignment_560cm_PFL,alignment_560cm_distortion_min,alignment_560cm_distortion_max,alignment_560cm_DFOV_EFL,alignment_560cm_DFOV_PFL,alignment_560cm_DFOV_DOTS,alignment_test_ver,alignment_560cm_tilt_X,alignment_560cm_tilt_Y,alignment_560cm_tilt_radial,alignment_560cm_tilt_theta,offset_tilt_test_ver_,alignment_560cm_rotation,rotation_test_ver,alignment_560cm_sensor_temperature,alignment_560cm_pntc_temperature,pass_items,fail_items,result,
T220509230546318VCMCT7021T0,'20220509230737,'2022-05-09 23:07:43:615,VCMCT7021T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2H1985ZF,17cc15170919,0x5240f961dedcd601,AS1C064024D6A531B734019046,AJ7C0722E363B131B618,DNB21523055270E02A,0,0.0000000000,-195,5.8072235310,5.8132518976,-0.0249241268,2.9366129664,79.0105067259,78.9521558399,77.4167353957,9.0000000000,-0.2237139032,0.1461334238,0.2672123761,-33.1531217576,8.4000000000,-0.2173873894,8.4000000000,38.7151000000,33.5085395469,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230610322VCMCT7021T0,'20220509230800,'2022-05-09 23:08:07:245,VCMCT7021T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2E1985ZJ,17cc15160370,0x5240f961dcdea103,AS1C064050ENC631A432105043,AJ8C072352E6B331B617,DNB21523053120L03A,0,0.0000000000,-173,5.8070248641,5.8130528181,-0.0178572029,2.8832452221,79.0124309269,78.9540816564,77.3980311256,9.0000000000,-0.1123628272,-0.1123628272,0.1589048304,45.0000000000,8.4000000000,-0.3725451129,8.4000000000,38.2534000000,34.3842735217,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230632348VCMCT7021T0,'20220509230823,'2022-05-09 23:08:29:905,VCMCT7021T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1X1985Z4,17cc15170871,0x5240f961dd146507,AS1C064034CDA531C034044050,AJ8C0723639NB131B622,DNB21523055170C01A,0,0.0000000000,-195,5.8072395142,5.8132679140,-0.0577808716,2.8115526470,79.0103519230,78.9520009071,77.4314499173,9.0000000000,-0.0824298466,0.2198677303,0.2348113392,-69.4487298266,8.4000000000,-0.0808152928,8.4000000000,37.7917000000,34.3379727322,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230654253VCMCT7021T0,'20220509230846,'2022-05-09 23:08:52:385,VCMCT7021T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC221985ZW,17cc15170405,0x5240f961dd142401,AS1C0640239GA731B234053004,AJ8C072362F7B131B619,DNB21523053120L01A,0,0.0000000000,-181,5.8081660722,5.8141963969,-0.1436904438,2.9011431170,79.0013787491,78.9430201994,77.4327579727,9.0000000000,-0.0071884783,-0.1731916484,0.1733407646,87.6232575240,8.4000000000,-0.3231687555,8.4000000000,38.7664000000,33.7028594887,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230718207VCMCT7021T0,'20220509230909,'2022-05-09 23:09:15:985,VCMCT7021T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC281985ZQ,17cc15170083,0x5240f161ded77f03,AS1C0640239HA731A631055031,AJ8C072362F4B231B631,DNB21523053600G09A,0,0.0000000000,-174,5.8058964956,5.8119221060,-0.0073043780,2.8527927642,79.0233613006,78.9650212074,77.4661552141,9.0000000000,-0.0439839358,-0.0814455001,0.0925632264,61.6291319593,8.4000000000,-0.2511981005,8.4000000000,39.3307000000,34.3341184183,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230741711VCMCT7021T0,'20220509230933,'2022-05-09 23:09:39:275,VCMCT7021T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC291985ZP,17cc15170005,0x5240f961dcde6c05,AS1C064050L7C631A935021047,AJ8C072342BFB431B634,DNB21523053120K08A,0,0.0000000000,-173,5.8022629721,5.8082810389,-0.0475354335,2.9815540583,79.0585760071,79.0002654828,77.4433597636,9.0000000000,-0.1546048135,0.3271996657,0.3618856591,-64.7090271219,8.4000000000,-0.2304120417,8.4000000000,37.8430000000,33.7554512799,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230804266VCMCT7021T0,'20220509230956,'2022-05-09 23:10:02:885,VCMCT7021T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1H1985ZJ,17cc15170702,0x5240f961dedca607,AS1C064033AHA731A735015026,AJ8C072362F8B131B610,DNB21523055550M13A,0,0.0000000000,-175,5.8061663029,5.8121924736,-0.0303557430,2.9108721519,79.0207474792,78.9624051914,77.4248585712,9.0000000000,-0.3122189758,0.0296627887,0.3136248317,-5.4271207683,8.4000000000,-0.0876840397,8.4000000000,38.6125000000,33.7103654239,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230827520VCMCT7021T0,'20220509231020,'2022-05-09 23:10:26:525,VCMCT7021T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1E1985ZM,17cc15170710,0x5240f961dcdecf07,AS1C064040K3C631A128051045,AJ8C072353DCB231B626,DNB21523055180H08A,0,0.0000000000,-166,5.8064402325,5.8124669722,-0.0902498591,2.9126314287,79.0180938690,78.9597493531,77.4172701676,9.0000000000,0.0000000000,0.1027183209,0.1027183209,90.0000000000,8.4000000000,-0.2982245213,8.4000000000,37.7917000000,34.1996114778,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230850924VCMCT7021T0,'20220509231043,'2022-05-09 23:10:50:045,VCMCT7021T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1B1985ZQ,17cc15160488,0x5240ea61de795201,AS1C064014D2A531B833018101,AJ8C072343A8B331B625,DNB21523055170A09A,0,0.0000000000,-193,5.8062937170,5.8123201524,-0.0576389501,2.9554596569,79.0195131748,78.9611698506,77.4311702780,9.0000000000,-0.3611828881,0.0558448889,0.3654744383,-8.7891709537,8.4000000000,0.0165078711,8.4000000000,37.1761000000,33.4862208129,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230913179VCMCT7021T0,'20220509231106,'2022-05-09 23:11:13:095,VCMCT7021T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1T1985Z8,17cc15170070,0x5240f161ded78403,AS1C064060JJC631A934007053,AJ8C0723639BB431B638,DNB21523055180G13A,0,0.0000000000,-169,5.8015417190,5.8075582890,-0.1604780141,2.9768771024,79.0655692346,79.0072645829,77.4518032983,9.0000000000,0.0174726022,-0.0432574063,0.0466529184,-68.0051551260,8.4000000000,-0.0803426984,8.4000000000,39.2794000000,34.2072770188,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230937284VCMCT7021T0,'20220509231129,'2022-05-09 23:11:36:855,VCMCT7021T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1N1985ZD,17cc15160666,0x5240f961dcde1d05,AS1C064060KPC631A831060046,AJ8C072352HMB431B637,DNB21523054460A06A,0,0.0000000000,-179,5.8029351332,5.8089545951,-0.0511096376,2.8842649064,79.0520597032,78.9937437071,77.4144613942,9.0000000000,-0.0413814519,0.1694260539,0.1744063999,-76.2745560612,8.4000000000,0.0373911650,8.4000000000,38.2021000000,34.2149450452,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
