GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,oc_x,oc_y,oc_xShift,oc_yShift,oc_rShift,OC_ROI_CENTER_MEAN,OC_ROI_TOP_MEAN,OC_ROI_BOTTOM_MEAN,OC_ROI_LFET_MEAN,OC_ROI_RIGHT_MEAN,oc_threshold,OC_ROI_CENTER,OC_ROI_TOP,OC_ROI_BOTTOM,OC_ROI_LFET,OC_ROI_RIGHT,test_ver,pass_items,fail_items,result,
T220509224633461VCMCT8271T0,'20220509224915,'2022-05-09 22:49:28:018,VCMCT8271T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2G1985ZG,17cc15160145,0x5240f961dcde5501,AS1C064050ELC631B628002030,AJ8C072342BHB231B626,DNB21523053120L02A,0,0.0000000000,2111.7153665874,1513.8040049351,-0.7846334126,-1.3040049351,1.5218667692,728.6056000000,386.6460000000,384.1389000000,384.0270000000,384.7233000000,556.7447000000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224658566VCMCT8271T0,'20220509224938,'2022-05-09 22:49:50:718,VCMCT8271T02,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1U1985Z7,17cc15170462,0x5240f961dedcf901,AS1C064024D5A531B233128040,AJ7C0722E360B431B627,DNB21523055270E05A,0,0.0000000000,2112.7310418096,1519.6680748478,0.2310418096,-7.1680748478,7.1717973578,723.0382000000,383.4621000000,385.8174000000,382.9223000000,382.6291000000,553.3729625000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224720970VCMCT8271T0,'20220509225001,'2022-05-09 22:50:14:138,VCMCT8271T02,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC171985ZU,17cc15170902,0x5240f961dcde6707,AS1C064034BBA531B536035025,AJ7C0722E35NB231B619,DNB21523054510A08A,0,0.0000000000,2115.0834551285,1519.1207869539,2.5834551285,-6.6207869539,7.1069726530,728.5667000000,385.1126000000,387.2491000000,382.8363000000,383.9972000000,556.6827500000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224744078VCMCT8271T0,'20220509225024,'2022-05-09 22:50:37:628,VCMCT8271T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC121985ZZ,17cc15160543,0x5240ea61de7a1c01,AS1C064014BMA531B532044018,AJ7C0722E36NB131B625,DNB21523055270E09A,0,0.0000000000,2117.5040673501,1514.1648756803,5.0040673501,-1.6648756803,5.2737558794,734.2903000000,389.9306000000,390.6355000000,385.3187000000,387.6453000000,561.3364125000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224807133VCMCT8271T0,'20220509225048,'2022-05-09 22:51:00:458,VCMCT8271T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1W1985Z5,17cc15170211,0x5240f961dcde7403,AS1C064050H5C631A332035021,AJ8C072362BKB231B628,DNB21523054510L08A,0,0.0000000000,2111.7001214884,1511.2504971134,-0.7998785116,1.2495028866,1.4835980240,735.0420000000,391.4795000000,387.3930000000,387.9489000000,386.9670000000,561.7445500000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224830639VCMCT8271T0,'20220509225111,'2022-05-09 22:51:23:898,VCMCT8271T02,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1V1985Z6,17cc15170282,0x5240f961dcdecb01,AS1C064040F0C631B131017008,AJ8C072363AAB131B632,DNB21523054780A05A,0,0.0000000000,2112.6581447689,1518.0504431205,0.1581447689,-5.5504431205,5.5526956158,735.6939000000,386.9420000000,389.6736000000,386.8167000000,385.3802000000,561.4485125000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224853193VCMCT8271T0,'20220509225134,'2022-05-09 22:51:47:118,VCMCT8271T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1Q1985ZB,17cc15170106,0x5240f961dcde4e01,AS1C0640239FA731A633016027,AJ8C072352J9B231B613,DNB21523053600D11A,0,0.0000000000,2118.9972619937,1515.7856626358,6.4972619937,-3.2856626358,7.2807961358,734.3130000000,388.6523000000,386.9285000000,386.8329000000,387.5804000000,560.9057625000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224915948VCMCT8271T0,'20220509225156,'2022-05-09 22:52:09:508,VCMCT8271T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1R1985ZA,17cc15170371,0x5240f961dcdea101,AS1C064034BJA531B032034007,AJ7C0722E35PB131B612,DNB21523054510A11A,0,0.0000000000,2114.2075873851,1517.0366330680,1.7075873851,-4.5366330680,4.8473595154,731.2806000000,386.1707000000,387.8087000000,385.6314000000,382.4287000000,558.3952375000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509224938802VCMCT8271T0,'20220509225219,'2022-05-09 22:52:32:828,VCMCT8271T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1K1985ZG,17cc15170379,0x5240f961dedcae03,AS1C064023BEA731B133018026,AJ8C072342B7B431B626,DNB21523054510J05A,0,0.0000000000,2114.4643873428,1518.4475549024,1.9643873428,-5.9475549024,6.2635634386,720.4402000000,382.1160000000,384.1545000000,380.4169000000,380.5824000000,551.1288250000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509225002857VCMCT8271T0,'20220509225243,'2022-05-09 22:52:54:398,VCMCT8271T02,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1J1985ZH,17cc15170089,0x5240f961dcde5207,AS1C064060KMC631A729023038,AJ8C072352E4B131B631,DNB21523053120K09A,0,0.0000000000,2116.7413784826,1511.9169235741,4.2413784826,0.5830764259,4.2812696190,736.1575000000,390.2494000000,387.0330000000,386.4136000000,387.3314000000,561.9571750000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509225025112VCMCT8271T0,'20220509225305,'2022-05-09 22:53:18:058,VCMCT8271T02,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1L1985ZF,17cc15170538,0x5240f961dcde6403,AS1C064040L0C631A837037035,AJ8C072362BJB331B621,DNB21523055220I10A,0,0.0000000000,2114.7640095424,1513.3360006777,2.2640095424,-0.8360006777,2.4134283377,729.5552000000,387.0863000000,384.1633000000,381.3124000000,385.1295000000,556.9890375000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509225048666VCMCT8271T0,'20220509225328,'2022-05-09 22:53:41:578,VCMCT8271T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC261985ZS,17cc15170435,0x5240f961dcde7401,AS1C064033AFA731A337125054,AJ8C072342BCB331B627,DNB21523053120M09A,0,0.0000000000,2115.9125847236,1514.4247130777,3.4125847236,-1.9247130777,3.9179401383,730.8332000000,386.7960000000,385.9466000000,385.6069000000,383.5204000000,558.1503375000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509225111820VCMCT8271T0,'20220509225351,'2022-05-09 22:54:04:068,VCMCT8271T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2B1985ZM,17cc15170232,0x5240f961dedaa205,AS1C0640338JA731A932037100,AJ8C072352J2B331B626,DNB21523053600G14A,0,0.0000000000,2114.7172536327,1518.4979827465,2.2172536327,-5.9979827465,6.3946861299,727.2640000000,383.8969000000,385.8175000000,382.8919000000,384.5240000000,555.7732875000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
T220509225157540VCMCT8271T0,'20220509225436,'2022-05-09 22:54:48:828,VCMCT8271T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_D50_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2F1985ZH,17cc15170260,0x5240f961dcde2f03,AS1C064032JGA731B035020039,AJ8C072362B6B231B633,DNB21523054510J12A,0,0.0000000000,2111.7209901240,1512.9391534709,-0.7790098760,-0.4391534709,0.8942662679,732.6255000000,387.5644000000,387.8379000000,386.2930000000,383.5587000000,559.4695000000,2062 1462 2161 1561,2062 0 2161 99,2062 2924 2161 3023,600 1462 699 1561,3524 1462 3623 1561,8.0000000000,oc_rShift / oc_xShift / oc_yShift / ,,1,
