GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,LightAmount_Peak0_Neutral,vcm_um_Peak0_Neutral,LightAmount_Peak1_Neutral,vcm_um_Peak1_Neutral,LightAmount_Peak2_Neutral,vcm_um_Peak2_Neutral,LightAmount_Peak3_Neutral,vcm_um_Peak3_Neutral,vcm_um_targetpeak,
T220509182528646VCMCT8271T0,'20220509182544,'2022-05-09 18:25:49:198,VCMCT8271T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1R1985ZA,17cc15170371,0x5240f961dcdea101,AS1C064034BJA531B032034007,AJ7C0722E35PB131B612,DNB21523054510A11A,0,0.0000000000,1140,-139.5200000000,1133,-0.0000000000,936,-0.0000000000,1143,-0.0000000000,-139.5200000000,
T220509182551147VCMCT8271T0,'20220509182607,'2022-05-09 18:26:12:638,VCMCT8271T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1K1985ZG,17cc15170379,0x5240f961dedcae03,AS1C064023BEA731B133018026,AJ8C072342B7B431B626,DNB21523054510J05A,0,0.0000000000,1077,-136.1920000000,1226,-0.0000000000,920,-0.0000000000,1169,-0.0000000000,-136.1920000000,
T220509182614679VCMCT8271T0,'20220509182630,'2022-05-09 18:26:35:458,VCMCT8271T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1J1985ZH,17cc15170089,0x5240f961dcde5207,AS1C064060KMC631A729023038,AJ8C072352E4B131B631,DNB21523053120K09A,0,0.0000000000,1378,-165.3760000000,1093,-0.0000000000,987,-0.0000000000,1195,-0.0000000000,-165.3760000000,
T220509182637382VCMCT8271T0,'20220509182653,'2022-05-09 18:26:58:299,VCMCT8271T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1L1985ZF,17cc15170538,0x5240f961dcde6403,AS1C064040L0C631A837037035,AJ8C072362BJB331B621,DNB21523055220I10A,0,0.0000000000,1328,9.7280000000,1192,-0.0000000000,1039,-0.0000000000,911,-0.0000000000,9.7280000000,
T220509182700232VCMCT8271T0,'20220509182716,'2022-05-09 18:27:21:139,VCMCT8271T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC261985ZS,17cc15170435,0x5240f961dcde7401,AS1C064033AFA731A337125054,AJ8C072342BCB331B627,DNB21523053120M09A,0,0.0000000000,1383,-129.0240000000,1157,-0.0000000000,961,-0.0000000000,1148,-0.0000000000,-129.0240000000,
T220509182723741VCMCT8271T0,'20220509182739,'2022-05-09 18:27:44:779,VCMCT8271T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2B1985ZM,17cc15170232,0x5240f961dedaa205,AS1C0640338JA731A932037100,AJ8C072352J2B331B626,DNB21523053600G14A,0,0.0000000000,1367,-71.4240000000,1249,-0.0000000000,1153,-0.0000000000,450,-0.0000000000,-71.4240000000,
T220509182746712VCMCT8271T0,'20220509182802,'2022-05-09 18:28:07:329,VCMCT8271T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2C1985ZL,17cc15160576,0x5240ea61de7a1407,AS1C064014BBA531B031009025,AJ8C072363A3B431B626,DNB21523054780B01A,0,0.0000000000,1009,-59.1360000000,1158,-0.0000000000,1069,-0.0000000000,0,-0.0000000000,-59.1360000000,
T220509182809341VCMCT8271T0,'20220509182825,'2022-05-09 18:28:30:659,VCMCT8271T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2F1985ZH,17cc15170260,0x5240f961dcde2f03,AS1C064032JGA731B035020039,AJ8C072362B6B231B633,DNB21523054510J12A,0,0.0000000000,1404,-56.8320000000,1226,-0.0000000000,958,-0.0000000000,1031,-0.0000000000,-56.8320000000,
T220509182832604VCMCT8271T0,'20220509182849,'2022-05-09 18:28:53:989,VCMCT8271T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2G1985ZG,17cc15160145,0x5240f961dcde5501,AS1C064050ELC631B628002030,AJ8C072342BHB231B626,DNB21523053120L02A,0,0.0000000000,1257,-132.0960000000,1066,-0.0000000000,892,-0.0000000000,1100,-0.0000000000,-132.0960000000,
T220509182855943VCMCT8271T0,'20220509182911,'2022-05-09 18:29:16:649,VCMCT8271T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1U1985Z7,17cc15170462,0x5240f961dedcf901,AS1C064024D5A531B233128040,AJ7C0722E360B431B627,DNB21523055270E05A,0,0.0000000000,1043,-132.3520000000,1257,-0.0000000000,898,-0.0000000000,1137,-0.0000000000,-132.3520000000,
